Pacific Daylight Time,Cache-Data Flushes,Page Faults,Available Bytes,Transition Faults,Cache Faults,Cache Bytes,Standby Cache Core Bytes,Current Disk Queue Length,% Disk Time,Process-Page Faults,% Processor Time,Interrupts,Processor Performance(PPM_Processor_0)\% of Maximum Frequency,Processor Performance(PPM_Processor_1)\% of Maximum Frequency,Processor Performance(PPM_Processor_3)\Processor Frequency,Processor Performance(PPM_Processor_2)\% of Maximum Frequency,System Calls,Threads,Source,Destination,Protocol,Length,Information,LABEL
45:08.8,9.965609678,3034.528147,4748046336,1044.395894,17.93809742,148324352,129900544,0,0.152263943,3011.607245,20.9761495,3962.326408,62,62,1005,62,18362.63239,1847,::1,::1,TCP/MySQL/HTTP,64,"57535  >  80 [FIN, ACK] Seq=3058 Ack=6422 Win=2612480 Len=0",NORMAL
45:09.8,1.994672032,1332.440917,4756897792,724.0659474,2.992008047,148336640,129900544,0,0.023207449,1329.448909,14.68307471,2706.769947,56,56,1005,55,11234.99022,1845,NULL,NULL,NULL,NULL,NULL,NORMAL
45:10.8,8.058913884,2517.403225,4755460096,1052.695626,12.08837083,148385792,129900544,0,0.121061851,2498.263304,28.77807815,6166.076486,55,55,1005,55,26020.2182,1845,::1,::1,HTTP,832,GET /dcml/index.php HTTP/1.1 ,NORMAL
45:11.8,12.95830019,1107.43627,4755800064,744.6038648,4.983961612,148381696,129900544,0,0.185211877,1102.452308,3.436841065,1104.445893,55,56,1005,56,4677.946369,1843,NULL,NULL,NULL,NULL,NULL,NORMAL
45:12.8,6.95608761,991.7393478,4757250048,747.2825547,0.993726801,148385792,129900544,0,0.096394661,989.7518942,13.43423569,2774.48523,55,55,1005,56,10376.49526,1843,NULL,NULL,NULL,NULL,NULL,NORMAL
45:13.8,2.014401358,878.2789922,4755849216,730.2204923,2.014401358,148393984,129900544,0,0.022591327,876.2645908,1.641361124,736.2636964,62,62,1005,62,4298.732498,1843,NULL,NULL,NULL,NULL,NULL,NORMAL
45:14.8,2.953545456,2604.042577,4756897792,1735.700213,1.969030304,148402176,129900544,0,0.860291131,2628.655456,3.850205746,792.5346973,62,62,1005,62,17113.82689,1843,NULL,NULL,NULL,NULL,NULL,NORMAL
45:15.8,4.051769458,5614.739527,4769447936,1564.995953,1.012942365,148406272,129900544,0,0.055801022,5584.351256,10.18368149,837.7033355,62,62,1005,62,16014.61878,1845,::1,::1,TCP,64,"80  >  57536 [FIN, ACK] Seq=3130 Ack=1537 Win=2618112 Len=0",NORMAL
45:16.8,4.982343571,885.8606869,4758179840,721.4433491,1.992937428,148414464,129900544,0,0.078620097,883.8677495,0,709.4857245,62,62,1005,62,3964.949014,1846,NULL,NULL,NULL,NULL,NULL,NORMAL
45:17.8,6.068051989,943.5820844,4758347776,732.2116067,65.73722989,148680704,129900544,0,0.110845224,877.8448545,1.234225162,609.8392249,62,62,1005,62,4103.014487,1846,NULL,NULL,NULL,NULL,NULL,NORMAL
45:18.8,17.84270584,950.6197168,4762976256,717.6732794,1.982522871,148652032,129900544,0,0.583212851,948.637194,4.750144668,864.3799719,62,62,1005,62,4422.017265,1846,NULL,NULL,NULL,NULL,NULL,NORMAL
45:19.8,5.926353794,6015.249101,4783542272,3853.117692,0.987725632,148656128,129900544,0,0.086040975,1344.294586,6.6288492,1613.943683,62,62,1005,62,10598.29604,1848,NULL,NULL,NULL,NULL,NULL,NORMAL
45:20.8,30.41363764,904.2988257,4778299392,738.0376067,8.11030337,148664320,129900544,0,0.335827845,896.1885224,1.387200969,928.6297359,62,62,1005,62,4450.528974,1847,NULL,NULL,NULL,NULL,NULL,NORMAL
45:21.8,2.970400553,878.24843,4779171840,716.8566667,2.970400553,148242432,129900544,0,0.025931409,874.287896,1.760900128,664.3795903,62,62,1005,62,5044.730272,1847,NULL,NULL,NULL,NULL,NULL,NORMAL
45:22.8,17.2250679,900.7697275,4779216896,733.5852449,1.013239289,148246528,129900544,0,1.098926703,899.7564882,1.069294979,751.8235521,62,62,1005,62,3698.323403,1851,NULL,NULL,NULL,NULL,NULL,NORMAL
45:23.8,6.970862492,917.1663364,4779352064,720.9863492,1.991674998,148254720,129900544,0,0.12670036,915.1746614,1.178748602,823.5576115,62,62,1005,62,4696.369645,1859,NULL,NULL,NULL,NULL,NULL,NORMAL
45:24.8,18.81307703,873.3228389,4779552768,716.877251,5.940971693,148246528,129900544,0,0.221890804,867.3818672,0.990226448,816.8836078,62,62,1005,62,3713.107308,1850,NULL,NULL,NULL,NULL,NULL,NORMAL
45:25.8,14.06304887,1045.688134,4790382592,872.9135332,1.00450349,148250624,129900544,0,0.171070828, NULL,1.509330894,990.4404416,62,62,1005,62,5519.74668,1829,NULL,NULL,NULL,NULL,NULL,NORMAL
45:26.8,4.053797953,1371.197157,4788015104,747.9257223,1.013449488,148254720,129900544,0,0.061228493,1370.183708,0.231235491,713.4684397,62,62,1005,62,3839.960111,1829,NULL,NULL,NULL,NULL,NULL,NORMAL
45:27.8,5.902878755,4834.457701,4783214592,717.1997688,1.967626252,148262912,129900544,0,0.091798958,4831.506261,23.13004802,3458.103137,62,62,1005,62,14391.21841,1835,NULL,NULL,NULL,NULL,NULL,NORMAL
45:28.8,2.010515398,913.7792482,4776321024,731.8276047,1.005257699,148267008,129900544,0,0.024405651,912.7739905,30.89801522,4816.189635,55,55,1005,55,17516.6154,1834,NULL,NULL,NULL,NULL,NULL,NORMAL
45:29.8,9.119337474,923.0796043,4776562688,729.5469979,3.039779158,148279296,129900544,0,0.15345997,920.0398252,1.446432706,865.3238003,62,62,1005,62,4494.820115,1831,NULL,NULL,NULL,NULL,NULL,NORMAL
45:30.8,2.991818275,1052.12276,4774400000,725.0172952,0,148279296,129900544,0,0.048316439,1051.125487,26.37539051,4771.950148,55,55,1005,55,17765.41691,1830,NULL,NULL,NULL,NULL,NULL,NORMAL
45:31.8,1.973469076,2202.391489,4771647488,1154.47941,10.85407992,148324352,129900544,0,0.030629274,2190.550675,14.0432753,2809.23323,55,55,1005,55,18038.49409,1827,NULL,NULL,NULL,NULL,NULL,NORMAL
45:32.8,5.017144586,872.983158,4771995648,722.4688205,1.003428917,148328448,129900544,0,0.099076334,871.9797291,2.011107105,810.7705652,57,60,1005,59,3935.448214,1826,NULL,NULL,NULL,NULL,NULL,NORMAL
45:33.8,5.046640038,950.7869831,4772880384,738.8281015,2.018656015,148336640,129900544,0,0.065975194,947.7589991,19.55014105,3159.196664,55,55,1005,56,13541.14455,1823,NULL,NULL,NULL,NULL,NULL,NORMAL
45:34.8,2.989216104,914.7001278,4772454400,752.2860528,4.98202684,148357120,129900544,0,0.047289133,909.718101,35.0141713,3324.008308,62,62,1005,62,11222.51366,1825,NULL,NULL,NULL,NULL,NULL,NORMAL
45:35.8,1.983664326,3057.818558,4774432768,1541.307181,24.79580407,148459520,129900544,0,0.056313538,3033.022754,28.71547114,3877.071925,59,60,1005,56,22660.38943,1827,NULL,NULL,NULL,NULL,NULL,NORMAL
45:36.8,4.007730511,906.7490282,4774232064,721.391492,1.001932628,148398080,129900544,0,0.068382573,904.7451629,27.20261771,4179.060991,49,50,1005,49,14567.09848,1826,NULL,NULL,NULL,NULL,NULL,NORMAL
45:37.8,5.993128878,1077.764343,4772376576,748.1422549,64.92556284,148664320,129900544,0,0.104643218,1011.839926,16.10925207,4278.095164,55,55,1005,56,15781.90604,1822,NULL,NULL,NULL,NULL,NULL,NORMAL
45:38.8,5.042794668,885.5147438,4772286464,726.1624322,2.017117867,148672512,129900544,0,0.085697193,883.4976259,10.55871927,1863.816909,61,62,1005,62,7505.695584,1822,NULL,NULL,NULL,NULL,NULL,NORMAL
45:39.8,3.959950251,886.0388687,4772241408,712.7910452,0.989987563,148676608,129900544,0,0.097396198,885.0488811,23.82415546,4441.084207,55,55,1005,55,17278.25293,1821,NULL,NULL,NULL,NULL,NULL,NORMAL
45:40.8,4.051092377,924.6618351,4772429824,730.209401,2.025546189,148684800,129900544,0,0.060108893,922.6362889,33.53587042,5244.139082,55,55,1005,55,21693.59968,1806,NULL,NULL,NULL,NULL,NULL,NORMAL
45:41.8,38.84578611,16057.25431,4756672512,8664.602395,24.90114494,148787200,129900544,0,0.513214765,16015.42038,25.30204864,4996.165722,58,59,1005,58,31299.74315,1823,::1,::1,TCP/MYSQL/HTTP,64,"57536  >  80 [FIN, ACK] Seq=1537 Ack=3131 Win=2615808 Len=0",NORMAL
45:42.8,11.90681489,993.2268084,4755406848,725.3234734,2.976703721,148766720,129900544,0,0.194772191,991.2423392,24.41326713,3905.435282,55,55,1005,56,14354.65758,1823,NULL,NULL,NULL,NULL,NULL,NORMAL
45:43.8,2.025786643,952.1197224,4754509824,743.4636981,1.012893322,148770816,129900544,0,0.02512238,950.0939357,30.75201212,4084.998766,55,55,1005,55,14877.37711,1818,NULL,NULL,NULL,NULL,NULL,NORMAL
45:44.8,51.02947462,2716.56909,4757798912,1240.716638,42.02427322,148754432,130039808,0,3.43341859, NULL,32.77023265,6829.944976,55,55,1005,55,28105.23358,1802,::1,::1,TCP/MYSQL/HTTP,832,GET /dcml/index.php HTTP/1.1 ,NORMAL
45:45.8,10.95065089,2348.416859,4759265280,744.6442606,2.986541152,147419136,130039808,0,0.162218659,2345.430318,30.7935566,5227.44253,49,49,1005,49,19649.44975,1805,NULL,NULL,NULL,NULL,NULL,NORMAL
45:46.8,1.998987912,1336.323419,4760158208,919.5344397,5.996963737,147443712,130039808,0,0.029473657,1387.297611,27.77441908,5292.320498,55,55,1005,55,22825.44348,1805,::1,::1,TCP/MYSQL/HTTP,64,80  >  57541 [ACK] Seq=3130 Ack=2302 Win=2617344 Len=0,NORMAL
45:47.8,14.04166584,1978.871907,4765085696,845.5088785,11.03273744,147451904,130039808,0,0.225131545,1911.672506,35.74583625,6573.505563,55,55,1005,55,26462.52224,1805,NULL,NULL,NULL,NULL,NULL,NORMAL
45:48.8,24.76947054,2501.716524,4762578944,1048.243993,17.83401879,147492864,130039808,0,0.493365146,2473.974717,34.21046766,6078.42807,55,56,1005,56,23351.66604,1805,::1,::1,TCP/MYSQL/HTTP,64,80  >  57541 [ACK] Seq=5018 Ack=3230 Win=2616320 Len=0,NORMAL
45:49.8,12.9492751,1621.647682,4764274688,1228.188938,4.980490423,147513344,130039808,0,0.169309926,1613.678897,33.0537275,4670.703919,55,55,1005,56,22189.08093,1806,NULL,NULL,NULL,NULL,NULL,NORMAL
45:50.8,33.61974983,1488.438015,4766195712,820.1181398,11.20658328,147517440,130039808,0,0.434730041,1477.231432,28.38107775,4974.704195,55,56,1005,56,18652.84847,1806,::1,::1,TCP/MYSQL/HTTP,64,80  >  57541 [ACK] Seq=7250 Ack=4005 Win=2615552 Len=0,NORMAL
45:51.8,29.01715204,3465.04819,4766343168,1228.7263,81.04790742,146997248,130039808,0,0.566606336,3374.99496,28.47569798,6215.674085,56,61,1005,61,25752.22214,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
45:52.8,8.858830113,898.6790992,4765171712,708.706409,1.968628914,147005440,130039808,0,0.11687437,896.7104703,4.967544856,1881.024927,56,56,1005,56,7270.146579,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
45:53.8,16.954949,2401.618659,4768051200,1502.009012,3.989399766,147013632,130039808,0,0.250437972,2393.63986,34.19512013,5589.149072,55,55,1005,56,22551.07953,1808,NULL,NULL,NULL,NULL,NULL,NORMAL
45:54.8,16.02434418,2319.523821,4763631616,1381.098164,13.01977965,147046400,130039808,0,0.148572589,2305.502519,18.6321468,2870.360652,56,56,1005,56,9690.722145,1810,NULL,NULL,NULL,NULL,NULL,NORMAL
45:55.8,11.97491973,3449.774792,4764991488,3062.58572,3.991639909,147054592,130039808,0,0.14103671,3444.785242,43.87343915,7256.801355,49,49,1005,49,26265.98851,1809,::1,::1,TCP,64,"80  >  57541 [FIN, ACK] Seq=9270 Ack=4005 Win=2615552 Len=0",NORMAL
45:56.8,4.005103303,2622.341387,4764610560,794.0117297,6.007654954,147058688,130039808,0,0.057311229,2616.333732,30.73703082,4154.293401,49,49,1005,49,14849.92177,1809,NULL,NULL,NULL,NULL,NULL,NORMAL
45:57.8,9.002198337,918.2242304,4765126656,731.1785538,2.000488519,146804736,130039808,0,0.200449912,916.2237418,16.80936691,3035.741328,55,55,1005,56,13343.25842,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
45:58.8,2.01347275,1000.695957,4764811264,825.5238276,1.006736375,146808832,130039808,0,0.055933173,998.6824841,9.165055682,1366.141261,62,62,1005,62,5777.660057,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
45:59.8,9.085355094,1642.430304,4766707712,757.1129245,2.018967799,146817024,130039808,0,0.137381945,1637.382885,8.909580455,2078.527349,55,56,1005,56,7782.11138,1808,NULL,NULL,NULL,NULL,NULL,NORMAL
46:00.8,2.957663998,1465.029567,4764569600,861.6661113,0.985887999,146821120,130039808,0,0.070772999,1464.043679,23.74130448,2733.867422,55,55,1005,56,12449.79365,1808,NULL,NULL,NULL,NULL,NULL,NORMAL
46:01.8,17.07634149,1545.91115,4765351936,959.2885956,19.08532284,146882560,130039808,0,0.275268235,1510.753977,48.21017894,6735.109983,54,54,1005,54,25330.24138,1807,::1,::1,TCP/MYSQL/HTTP,64,"57541  >  80 [FIN, ACK] Seq=4005 Ack=9271 Win=2609664 Len=0",NORMAL
46:02.8,21.00813015,4062.572215,4756172800,884.3422404,22.0085173,146919424,130039808,0,0.462007467,4032.560601,44.89593252,6255.420848,49,49,1005,49,22524.71707,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
46:03.8,20.86912139,932.1540888,4756983808,715.5127334,0.993767685,146923520,130039808,0,0.296622027,929.1727858,33.23520129,4648.845232,49,49,1005,49,15786.99345,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
46:04.8,8.007890174,883.870878,4757274624,720.7101157,2.001972544,146931712,130039808,0,0.150785695,881.8689054,9.269280566,1792.766413,56,55,1005,56,6974.872342,1805,NULL,NULL,NULL,NULL,NULL,NORMAL
46:05.8,1.990973523,1008.42809,4758581248,745.6195845,0,146931712,130039808,0,0.021070864,1007.432603,43.23581979,5999.798713,55,55,1005,55,20824.58757,1802,NULL,NULL,NULL,NULL,NULL,NORMAL
46:06.8,4.029561264,5300.887843,4755640320,1100.070225,5.03695158,146952192,130039808,0,0.088953718,5374.427336,37.41663612,5760.257827,61,62,1005,61,21752.5791,1802,::1,::1,TCP,64,"80  >  57545 [FIN, ACK] Seq=2389 Ack=1028 Win=2618880 Len=0",NORMAL
46:07.8,9.131139601,5811.46307,4756111360,827.8899905,65.94711934,147218432,130039808,0,0.23787591,5669.423121,62.74165225,10293.83804,55,55,1005,55,22646.24078,1801,NULL,NULL,NULL,NULL,NULL,NORMAL
46:08.8,6.000076201,1098.013945,4756606976,770.0097791,2.0000254,147226624,130039808,0,0.097926571,1088.013818,61.32962428,8709.110606,49,49,1005,49,24566.31199,1801,NULL,NULL,NULL,NULL,NULL,NORMAL
46:09.8,1.962797913,925.4592162,4757176320,713.4770415,1.962797913,147234816,130039808,0,0.024045196,923.4964183,79.30139466,8671.641182,49,49,1005,49,19456.23432,1800,NULL,NULL,NULL,NULL,NULL,NORMAL
46:10.8,5.028414059,1236.989859,4760133632,742.1939152,0,147234816,130039808,0,0.11355748,1235.984176,69.36466731,7759.848576,49,49,1005,49,18970.19488,1800,NULL,NULL,NULL,NULL,NULL,NORMAL
46:11.8,22.94957977,1059.671901,4760268800,762.3251716,7.98246253,147234816,130039808,0,0.341076515,1049.693823,77.00258594,9446.246596,43,43,1005,43,27497.5878,1799,NULL,NULL,NULL,NULL,NULL,NORMAL
46:12.8,14.98239419,931.9049185,4760223744,751.117362,0.998826279,147206144,130039808,0,0.203318078,930.9060923,40.29953306,5031.087969,48,49,1005,48,18032.80965,1800,NULL,NULL,NULL,NULL,NULL,NORMAL
46:13.8,15.12948876,1010.649849,4760305664,758.4917029,7.060428086,147214336,130039808,0,0.209810608,1002.580788,19.62656092,4141.445389,49,49,1005,49,16437.68522,1802,NULL,NULL,NULL,NULL,NULL,NORMAL
46:14.8,3.970848413,937.1202256,4760952832,724.6798355,1.985424207,147222528,130039808,0,0.062086567,935.1348014,30.59618093,4150.529304,49,49,1005,49,14027.02202,1800,NULL,NULL,NULL,NULL,NULL,NORMAL
46:15.8,6.003801607,905.5734091,4761174016,720.4561929,0,147222528,130039808,0,0.12100421,905.5734091,20.58802823,2731.729731,55,55,1005,55,10005.33538,1800,NULL,NULL,NULL,NULL,NULL,NORMAL
46:16.8,2.021929238,905.8242986,4761559040,727.8945257,2.021929238,147230720,130039808,0,0.033056227,903.8023694,17.13365613,2627.497045,55,56,1005,55,9758.841467,1800,NULL,NULL,NULL,NULL,NULL,NORMAL
46:17.8,7.960826366,1102.574452,4774416384,858.7741442,0.995103296,147234816,130039808,0,0.13335963, NULL,40.52886915,5687.015335,56,55,1005,55,20479.22583,1785,NULL,NULL,NULL,NULL,NULL,NORMAL
46:18.8,3.979684902,1096.403191,4773498880,783.0030046,4.974606128,147255296,130039808,0,0.064153796,1089.438742,34.71568619,4702.992634,55,55,1005,56,15655.08549,1785,NULL,NULL,NULL,NULL,NULL,NORMAL
46:19.8,167.8239235,2287.966389,4773822464,1386.285191,0,147255296,130039808,0,1.967328458,2278.035979,32.88159083,6401.142077,62,62,1005,62,17582.78337,1785,NULL,NULL,NULL,NULL,NULL,NORMAL
46:20.8,30.25643539,1160.838571,4788543488,732.2057365,8.068382771,147263488,130039808,0,0.376349714,1152.770188,23.57098351,4138.071814,62,62,1005,62,18560.30602,1787,NULL,NULL,NULL,NULL,NULL,NORMAL
46:21.8,2.981805322,1727.459217,4787761152,1035.680382,3.975740429,147279872,130039808,0,0.065520287,1723.483476,34.38467286,6140.531093,49,49,1005,49,23442.95344,1807,NULL,NULL,NULL,NULL,NULL,NORMAL
46:22.8,7.029397644,2332.755818,4789166080,904.7838967,66.27717779,147550208,130039808,0,0.123612336,2265.474441,27.43949863,5697.82889,53,54,1005,53,19487.49867,1809,NULL,NULL,NULL,NULL,NULL,NORMAL
46:23.8,6.026878068,1093.878369,4791615488,802.5792627,0,147550208,130039808,0,0.087719933,1093.878369,43.09996134,5454.324652,53,54,1005,53,18040.45502,1809,NULL,NULL,NULL,NULL,NULL,NORMAL
46:24.8,1.994515879,15582.15531,4769398784,8613.316824,21.93967467,147640320,130039808,0,0.031171057,15548.24854,54.78308404,7730.743548,55,55,1005,55,36112.70451,1824,::1,::1,TCP/MYSQL/HTTP,64,"57545  >  80 [FIN, ACK] Seq=1028 Ack=2390 Win=2616576 Len=0",NORMAL
46:25.8,13.06085444,19186.39517,4781871104,11366.96209,20.09362221,147685376,130039808,0,0.207214711,NULL,51.36416794,8964.769551,49,49,1005,49,39901.91499,1823,NULL,NULL,NULL,NULL,NULL,NORMAL
46:26.8,7.965134218,1201.739625,4771479552,830.3652422,1.991283554,147644416,130039808,0,0.146184653,1197.757058,44.77504608,6625.996028,49,49,1005,49,22256.57629,1823,NULL,NULL,NULL,NULL,NULL,NORMAL
46:27.8,7.953159865,1425.603906,4772036608,986.1918233,2.982434949,147656704,130039808,0,0.16110624,1422.621471,40.58243808,6820.828729,46,45,1005,46,19612.49223,1824,NULL,NULL,NULL,NULL,NULL,NORMAL
46:28.8,2.011394146,23696.23443,4774367232,12542.04819,50.28485364,147857408,130039808,0,0.055023092,6504.848667,51.67816912,8546.413724,43,43,1005,43,44665.0184,1824,::1,::1,TCP/MYSQL/HTTP,64,80  >  57551 [ACK] Seq=2022 Ack=1684 Win=2617856 Len=0,NORMAL
46:29.8,11.96047303,1000.69291,4766535680,802.348399,2.990118257,147722240,130039808,0,0.158245431,997.7027918,22.52733043,3371.856688,49,49,1005,49,14078.47346,1822,NULL,NULL,NULL,NULL,NULL,NORMAL
